"No","m2s_ratio","lonm","latm","area(km2)","Vol(km3/yr)","nyr","yrb","yre","elev(m)","CT","CN","River_Name","OCN","Station_Name"
121,12273,9.25,53.75,123532.0,21.423,102.0,1900,2001,17.0,"DE","EU","Elbe (Labe)","ATL","Wittenberge"
98,12222,-78.75,51.75,40900.0,26.529,37.5,1963,2001,211.0,"CA","NA","Rupert","ATL","en aval du,"
20,12217,113.25,22.25,329705.0,219.664,45.7,1915,1986,-9999.0,"CN","AS","Xijiang","PAC","Wuzhou, Chi"
48,12167,86.25,20.25,132090.0,59.434,6.0,1965,1970,-9999.0,"IN","AS","Mahanadi","IND","Kaimundi, I"
8,11933,-57.75,-34.75,2346000.0,476.584,101.3,1905,2006,4.0,"AR","SA","Parana","ATL","Timbues, Ar"
35,11919,160.75,68.75,526000.0,97.08,74.3,1927,2004,-9999.0,"RU","AS","Kolyma","ARC","Kolymskoye,"
141,11875,24.25,56.75,70350.0,15.75,58.8,1906,1985,75.0,"LV","EU","Daugava (Zapadn","ATL","Jekabpils,"
102,11852,-78.25,1.75,18800.0,31.726,9.5,1973,1991,40.0,"EC","SA","Esmeraldas","PAC","d.j. Sade,"
84,11818,-79.25,51.25,57500.0,32.542,22.0,1960,1982,243.0,"CA","NA","Nottaway","ATL","tete du Lac"
140,11765,14.25,53.75,109729.0,16.724,100.2,1900,2000,3.0,"PL","EU","Odra (Oder)","ATL","Gozdowice,"
119,11739,113.75,22.75,25325.0,23.412,34.3,1953,1987,7.0,"CN","AS","Dongjiang","PAC","Boluo, Chin"
92,11724,100.25,13.75,118816.0,23.273,86.5,1912,2000,-9999.0,"TH","AS","Chao Phraya","PAC","Wat Phikun,"
38,11685,68.25,24.75,975000.0,88.525,63.8,1936,2000,13.0,"PK","AS","Indus","IND","Kotri, Paki"
161,11667,33.75,-24.75,342000.0,11.677,3.2,1976,1979,23.0,"MZ","AF","Limpopo","IND","Chokwe, Moz"
113,11600,-130.25,54.75,19200.0,24.484,66.4,1929,2006,65.0,"CA","NA","Nass","PAC","u/s Shumal,"
66,11522,-70.75,48.25,73000.0,45.981,80.3,1913,1993,100.0,"CA","NA","Saguenay","ATL","Centrale d'"
3,11474,-61.75,9.25,836000.0,980.088,75.8,1923,1999,-9999.0,"VE","SA","Orinoco","ATL","Pte Angostu"
62,11458,11.75,45.25,70091.0,47.746,80.3,1918,1998,8.0,"IT","EU","Po","MED","Pontelagosc"
6,11381,-90.25,29.75,2896021.0,537.319,79.0,1928,2006,14.1,"US","NA","Mississippi","ATL","Vicksburg,"
100,11379,162.75,56.25,51600.0,29.165,47.3,1937,1985,7.0,"RU","AS","Kamchatka","PAC","Bolshie Sch"
101,11379,-68.25,49.25,45800.0,32.097,46.7,1946,1994,37.0,"CA","NA","Manicouagan","ATL","Centrale Mc"
17,11346,140.25,51.75,1730000.0,305.944,99.9,1900,1999,13.0,"RU","AS","Amur","PAC","Komsomolsk,"
180,11333,-3.75,5.25,66500.0,5.776,41.8,1953,1994,120.0,"CI","AF","Comoé (Komoé)","ATL","Aniassué, I"
78,11282,73.25,21.75,89345.0,38.381,26.0,1949,1979,-9999.0,"IN","AS","Narmada","IND","Garudeshwar"
143,11176,-76.99,55.23,36300.0,16.634,37.1,1961,2001,-9999.0,"CA","NA","","GR","Baleine ATL BALEINE (GR"
36,11143,35.75,-18.25,940000.0,105.311,4.0,1976,1979,117.0,"MZ","AF","Zambeze","IND","Matundo-Cai"
110,11111,-73.75,-47.75,23736.0,27.443,21.8,1963,1984,105.0,"CL","SA","Baker","PAC","La Colonia,"
18,11103,-52.25,-2.25,446388.0,273.437,26.4,1971,1998,-9999.0,"BR","SA","Xingu","ATL","Altamira, B"
172,11059,139.25,-35.25,991000.0,8.518,69.9,1930,2000,48.6,"VX","AU","Murray","IND","Euston weir"
136,11053,46.25,31.75,274100.0,19.149,18.0,1923,1972,28.0,"IQ","AM","Euphrates (Fira","IND","Hindiya, Ir"
168,11000,30.25,46.25,66100.0,9.868,56.9,1900,1985,2.0,"MD","EU","Dnestr","MED","Bendery (Be"
75,10952,113.75,22.75,38363.0,42.126,34.7,1953,1987,-9999.0,"CN","AS","Beijiang","PAC","Shijiao, Ch"
85,10882,0.25,5.75,394100.0,33.918,47.3,1936,1984,5.0,"GH","AF","Volta","ATL","Senchi (Hal"
185,10870,-129.25,69.75,56300.0,4.619,30.4,1969,2006,-9999.0,"CA","NA","Anderson","ARC","d/s Carnwat"
125,10833,-41.75,-3.25,282000.0,24.037,43.3,1963,2006,20.0,"BR","SA","Parnaiba","ATL","Porto Formo"
184,10833,-7.25,37.25,60883.0,4.874,43.9,1946,1990,30.0,"PT","EU","Guadiana","ATL","Pulo do Lob"
64,10800,149.75,71.25,305000.0,50.437,62.3,1936,1998,3.0,"RU","AS","Indigirka","ARC","Vorontsovo,"
117,10769,-2.25,47.25,110000.0,27.553,100.0,1900,1999,9.0,"FR","EU","Loire","ATL","Montjean, F"
115,10741,-62.75,-40.75,95000.0,26.924,66.8,1927,1994,32.0,"AR","SA","Negro-AR","ATL","Primera Ang"
97,10625,122.25,72.75,198000.0,34.446,49.0,1951,1999,-9999.0,"RU","AS","Olenek","ARC","7.5 km d/s,"
154,10625,-95.75,67.25,93900.0,14.913,40.1,1965,2006,27.0,"CA","NA","Back","ARC","u/s Hermann"
179,10597,-95.25,29.25,116568.0,6.704,87.5,1903,2006,8.5,"US","NA","Brazos","ATL","Richmond, T"
58,10577,80.25,16.25,251355.0,51.809,74.0,1901,1979,-9999.0,"IN","AS","Krishna","IND","Vijayawada,"
14,10576,88.25,24.25,951600.0,379.679,48.0,1949,1996,-9999.0,"IN","AS","Ganges (Ganga)","IND","Farakka, In"
37,10566,40.25,64.75,348000.0,104.4,105.7,1900,2006,2.0,"RU","EU","Severnaya Dvina","ARC","Ust Pinega,"
190,10488,-38.75,-12.75,53866.0,4.06,56.1,1964,2006,50.0,"BR","SA","Paraguacu","ATL","Pedra do Ca"
72,10444,116.75,36.75,734146.0,44.924,52.3,1934,2000,-9999.0,"CN","AS","Huanghe","PAC","Gaocung, Ch"
24,10443,-164.25,62.75,831386.0,227.464,50.0,1956,2006,6.1,"AK","NA","Yukon","PAC","Pilot Stn,"
126,10417,48.25,30.75,60769.0,23.437,66.4,1900,1985,20.0,"IR","AS","Karun","IND","Ahvaz, Iran"
7,10381,83.25,70.75,2440000.0,583.768,69.3,1936,2006,2.0,"RU","AS","Yenisey","ARC","Igarka, Rus"
13,10378,69.25,66.75,2430000.0,396.085,76.0,1930,2006,0.0,"RU","AS","Ob","ARC","Salekhard,"
4,10374,120.75,32.25,1705383.0,905.141,99.6,1900,2000,19.0,"CN","AS","Changjiang","PAC","Datong, Chi"
31,10370,53.25,67.75,312000.0,137.846,73.8,1916,2000,-9999.0,"RU","EU","Pechora","ARC","Oksino, Rus"
56,10370,-78.75,53.75,96300.0,53.728,18.8,1960,1978,7.0,"CA","NA","Grande (La)","ATL","en aval de,"
112,10357,74.75,68.75,95100.0,27.852,50.2,1939,1991,2.0,"RU","AS","Pur","ARC","Samburg, Ru"
34,10336,143.25,-3.75,40922.0,118.605,4.0,1980,1984,40.0,"PG","PO","Sepik","PAC","Ambunti, Pa"
192,10313,-6.25,36.75,46995.0,9.966,75.9,1913,1994,10.0,"ES","EU","Guadalquivir","ATL","Alcala del,"
94,10303,18.75,54.25,194000.0,32.871,94.0,1900,1994,-9999.0,"PL","EU","Vistula (Wisla)","ATL","Tczew, Pola"
2,10291,12.75,-5.75,3475000.0,1270.203,97.1,1903,2000,270.0,"CD","AF","Congo","ATL","Kinshasa, C"
45,10274,5.75,52.75,180000.0,70.459,103.0,1901,2003,-9999.0,"NL","EU","Rhine","ATL","Lobith, Net"
5,10245,89.75,24.25,554542.0,670.943,44.3,1956,2000,19.0,"BD","AS","Brahmaputra","IND","Bahadurabad"
27,10139,6.25,4.75,2209302.5,180.524,73.0,1915,2006,-999.0,"Ni","Ni","Niger (Issa Ber","ATL","Lokoja, Nig"
173,10120,161.25,68.25,49600.0,8.415,23.0,1978,2000,-9999.0,"RU","AS","Bolshoy Anyuy","ARC","Konstantino"
42,10112,-36.75,-10.25,622600.0,89.363,76.4,1926,2006,40.0,"BR","SA","Sao Francisco","ATL","Traipu, Bra"
9,10095,126.75,72.75,2430000.0,529.295,71.4,1934,2006,0.0,"RU","AS","Lena","ARC","Kusur, Russ"
19,10069,-134.25,68.75,1660000.0,283.431,46.6,1943,2006,-9999.0,"CA","NA","Mackenzie","ARC","Arctic Red,"
22,10000,-74.75,10.75,257438.0,230.904,51.0,1950,2000,8.0,"CO","SA","Magdalena","ATL","Calamar, Co"
26,10000,28.75,45.25,807000.0,203.739,103.0,1900,2002,4.0,"RO","EU","Danube","MED","Ceatal Izma"
40,10000,81.75,16.75,299320.0,95.878,73.5,1901,1979,-9999.0,"IN","AS","Godavari","IND","Polavaram,"
46,10000,144.75,-7.25,28749.0,73.794,6.2,1961,1984,40.0,"PG","PO","Purari","PAC","Wabo Dam, P"
51,10000,-77.25,4.25,14000.0,65.138,25.8,1965,1990,7.0,"CO","SA","San Juan","CO","PAC Penitas, Co"
